player_id,fifa_version,overall,potential,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,attacker_position,midfielder_position,defender_position,improvement_1_year,improvement_2_years,improvement_3_years,big_potential
2335,17.0,66,66,36,191,72,1,3,2,44.0,63.0,57.0,53.0,27.0,69.0,49,67,78,68,56,49,43,42,39,64,33,53,32,67,52,69,70,34,82,47,79,24,67,68,68,66.0,23,20,19,1,0,0,-47,-20,-60,0
2702,17.0,58,58,37,183,76,0,3,3,39.0,63.0,57.0,63.0,40.0,70.0,63,60,61,54,63,65,63,65,49,61,41,38,56,60,65,69,64,53,81,65,63,53,62,61,60,71.0,31,36,34,1,1,0,-3,20,41,0
2702,18.0,62,62,38,180,76,0,3,3,37.0,63.0,57.0,63.0,40.0,69.0,63,60,61,54,63,65,63,65,49,61,41,34,59,60,65,69,64,52,81,67,63,53,62,61,60,71.0,31,36,34,1,1,0,23,44,36,0
2702,19.0,57,57,39,180,76,0,3,2,35.0,63.0,56.0,63.0,43.0,73.0,59,60,61,54,63,65,63,62,47,61,36,35,62,60,66,69,67,55,82,67,75,53,62,61,60,71.0,41,36,34,1,1,0,21,13,3,0
3467,20.0,69,69,36,186,78,0,4,3,66.0,70.0,55.0,67.0,35.0,68.0,55,69,60,58,75,67,74,61,44,68,63,69,68,67,55,69,63,65,80,72,43,41,72,54,76,71.0,40,22,17,1,0,0,48,79,95,1
9014,17.0,87,87,32,180,80,0,2,4,86.0,85.0,81.0,90.0,32.0,62.0,80,84,51,84,86,91,86,83,71,89,87,86,89,87,91,86,61,68,65,88,47,39,85,83,80,86.0,29,26,26,1,1,0,7,-40,-152,0
10899,17.0,61,61,32,185,83,1,4,3,53.0,61.0,51.0,56.0,34.0,69.0,41,63,64,58,57,51,46,51,52,60,52,53,60,60,65,60,74,65,80,58,46,36,59,50,65,61.0,27,31,31,1,0,0,-1,29,32,0
10899,18.0,62,62,33,186,83,1,4,3,51.0,62.0,51.0,56.0,34.0,71.0,41,65,65,58,57,52,46,47,52,60,51,51,57,60,65,60,74,67,82,58,46,36,60,50,65,61.0,26,31,31,1,0,0,30,33,50,0
10899,19.0,62,62,34,186,83,1,4,2,50.0,62.0,51.0,56.0,38.0,72.0,41,65,65,58,57,52,46,47,52,60,51,49,59,61,65,60,79,69,84,59,46,36,61,51,65,61.0,40,31,31,1,0,0,3,20,-15,0
19521,17.0,63,63,33,194,92,1,2,2,66.0,57.0,53.0,59.0,40.0,81.0,50,58,60,62,53,61,43,27,48,62,64,68,47,59,47,60,62,80,92,52,60,41,59,55,61,66.0,45,32,31,1,0,0,1,-20,-79,0
20801,17.0,94,94,31,185,80,1,4,5,92.0,92.0,81.0,91.0,33.0,80.0,84,93,87,82,88,93,81,77,72,92,91,92,90,96,63,94,95,92,80,92,63,29,94,85,85,86.0,22,31,23,1,1,0,12,11,11,0
20801,18.0,94,94,32,185,80,1,4,5,90.0,93.0,82.0,90.0,33.0,80.0,85,94,88,83,88,91,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95.0,22,31,23,1,0,0,-1,-1,-11,0
