fifa_version,age,physic,mentality_aggression,mentality_interceptions,power_stamina,power_strength,defending_marking_awareness,power_jumping,defending_standing_tackle,defending_sliding_tackle,attacking_heading_accuracy,mentality_composure,movement_reactions,skill_long_passing,skill_dribbling,skill_fk_accuracy,skill_ball_control,attacking_crossing,power_shot_power,attacking_finishing,skill_curve,movement_balance,attacking_volleys,power_long_shots,mentality_vision,mentality_penalties,movement_agility,big_potential
17.0,32,60.0,58,68,64,59,57,54,57,56,54,88.0,88,86,90,70,93,79,65,73,80,86,74,74,94,71,82,0
18.0,33,58.0,58,66,58,58,57,52,57,56,54,89.0,88,86,90,70,94,77,65,70,80,84,74,71,94,71,79,0
19.0,34,57.0,58,66,55,58,67,47,57,56,54,89.0,88,86,90,70,94,77,65,70,80,84,74,71,94,71,79,0
17.0,35,66.0,87,68,51,64,64,72,66,65,43,73.0,73,84,75,80,77,78,79,68,81,84,69,77,77,85,66,0
17.0,31,66.0,70,81,55,69,80,70,80,76,74,67.0,72,64,44,21,60,34,68,20,49,63,19,40,46,35,52,0
17.0,36,69.0,79,24,34,82,23,70,20,19,78,66.0,67,39,49,42,64,49,69,67,43,52,56,47,68,68,32,0
17.0,37,70.0,63,53,53,81,31,64,36,34,61,71.0,60,49,65,65,61,63,69,60,63,65,63,65,61,60,56,0
18.0,38,69.0,63,53,52,81,31,64,36,34,61,71.0,60,49,65,65,61,63,69,60,63,65,63,67,61,60,59,0
19.0,39,73.0,75,53,55,82,41,67,36,34,61,71.0,60,47,65,62,61,59,69,60,63,66,63,67,61,60,62,0
17.0,32,78.0,76,77,79,80,63,69,68,58,80,69.0,79,71,72,57,75,61,77,68,65,52,70,80,75,66,55,0
18.0,33,72.0,75,76,60,78,64,69,71,58,78,69.0,74,72,73,57,76,62,78,68,65,52,70,78,78,66,55,0
20.0,36,68.0,43,41,65,80,40,63,22,17,60,71.0,67,44,67,61,68,55,69,69,74,55,75,72,54,76,68,1
17.0,37,70.0,69,85,55,78,81,74,78,74,76,75.0,65,56,50,31,55,28,69,22,40,34,19,30,25,30,33,0
17.0,32,62.0,47,39,68,65,29,61,26,26,51,86.0,87,71,91,83,89,80,86,84,86,91,86,88,83,80,89,0
17.0,34,55.0,43,43,60,57,42,58,51,38,48,71.0,73,71,71,77,73,79,69,62,79,77,77,78,77,68,79,0
17.0,32,69.0,46,36,65,80,27,74,31,31,64,61.0,60,52,51,51,60,41,60,63,46,65,57,58,50,65,60,0
18.0,33,71.0,46,36,67,82,26,74,31,31,65,61.0,60,52,52,47,60,41,60,65,46,65,57,58,50,65,57,0
19.0,34,72.0,46,36,69,84,40,79,31,31,65,61.0,61,52,52,47,60,41,60,65,46,65,57,59,51,65,59,0
17.0,33,68.0,72,63,74,62,61,73,65,63,56,63.0,64,63,61,55,63,62,66,55,47,75,52,58,64,65,64,0
17.0,33,80.0,81,62,62,90,75,65,71,64,65,63.0,58,49,29,23,39,33,48,26,22,51,24,36,23,45,27,0
17.0,30,71.0,67,75,67,75,73,69,72,70,74,71.0,69,59,47,31,62,51,65,39,48,60,51,51,52,58,62,0
18.0,31,72.0,67,73,67,75,72,79,68,69,72,71.0,69,59,47,31,62,51,65,39,48,60,51,51,52,58,62,0
19.0,32,76.0,76,73,76,75,67,79,74,69,72,71.0,72,59,47,31,62,51,65,39,48,60,51,51,52,58,62,0
20.0,33,73.0,76,70,66,75,67,77,70,67,69,70.0,67,59,47,31,62,51,65,45,48,55,51,51,52,67,62,0
21.0,34,74.0,78,70,68,75,71,73,71,67,69,70.0,67,59,47,31,67,51,65,45,48,55,51,51,52,67,62,0
17.0,33,81.0,60,41,80,92,45,62,32,31,60,66.0,59,48,61,27,62,50,60,58,43,47,53,52,55,61,47,0
17.0,35,82.0,83,75,72,85,75,88,78,76,75,81.0,72,47,48,28,55,41,65,25,25,64,35,32,45,40,58,0
18.0,36,77.0,83,68,69,77,71,90,74,70,70,75.0,76,47,48,28,55,41,65,25,25,64,35,32,45,40,62,0
17.0,32,60.0,62,24,68,54,10,63,17,13,41,79.0,78,75,89,78,87,88,83,70,92,84,80,83,80,74,89,0
18.0,33,60.0,62,24,69,54,10,63,17,13,41,79.0,78,75,89,78,87,88,83,70,92,84,80,83,80,74,91,0
19.0,34,62.0,74,24,65,55,29,63,17,13,41,80.0,78,75,89,73,88,92,79,67,94,84,80,80,84,74,91,0
17.0,31,80.0,63,29,92,80,22,95,31,23,87,86.0,96,72,93,77,92,84,94,93,81,63,88,92,85,85,90,0
18.0,32,80.0,63,29,92,80,22,95,31,23,88,95.0,96,77,91,76,93,85,94,94,81,63,88,92,85,85,89,0
19.0,33,79.0,63,29,88,79,28,95,31,23,89,95.0,96,77,88,76,94,84,95,94,81,70,87,93,82,85,87,0
20.0,34,78.0,63,29,85,78,28,95,32,24,89,95.0,96,77,89,76,92,84,95,94,81,71,87,93,82,85,87,0
21.0,35,77.0,63,29,84,78,28,95,32,24,90,95.0,95,77,88,76,92,84,94,95,81,71,86,93,82,84,87,0
17.0,34,48.0,58,23,62,33,27,92,29,29,56,56.0,53,55,61,49,61,56,54,63,50,91,51,51,55,62,87,0
