fifa_version,age,mentality_interceptions,defending,defending_standing_tackle,defending_sliding_tackle,attacking_heading_accuracy,skill_dribbling,attacker_position,skill_ball_control,midfielder_position,attacking_finishing,attacking_volleys,attacking_short_passing,mentality_positioning,shooting,big_potential
17.0,32,68,59.0,57,56,54,90,0,93,1,73,74,92,85,72.0,0
18.0,33,66,58.0,57,56,54,90,0,94,1,70,74,92,84,70.0,0
19.0,34,66,61.0,57,56,54,90,0,94,1,70,74,92,84,70.0,0
17.0,35,68,63.0,66,65,43,75,0,77,1,68,69,83,67,73.0,0
17.0,31,81,79.0,80,76,74,44,0,60,0,20,19,62,29,35.0,0
17.0,36,24,27.0,20,19,78,49,1,64,0,67,56,68,67,63.0,0
17.0,37,53,40.0,36,34,61,65,1,61,1,60,63,54,62,63.0,0
18.0,38,53,40.0,36,34,61,65,1,61,1,60,63,54,62,63.0,0
19.0,39,53,43.0,36,34,61,65,1,61,1,60,63,54,62,63.0,0
17.0,32,77,69.0,68,58,80,72,0,75,1,68,70,78,76,73.0,0
18.0,33,76,69.0,71,58,78,73,0,76,1,68,70,79,75,72.0,0
20.0,36,41,35.0,22,17,60,67,1,68,0,69,75,58,72,70.0,1
17.0,37,85,80.0,78,74,76,50,0,55,0,22,19,56,16,33.0,0
17.0,32,39,32.0,26,26,51,91,1,89,1,84,86,84,85,85.0,0
17.0,34,43,45.0,51,38,48,71,0,73,1,62,77,76,72,68.0,0
17.0,32,36,34.0,31,31,64,51,1,60,0,63,57,58,59,61.0,0
18.0,33,36,34.0,31,31,65,52,1,60,0,65,57,58,60,62.0,0
19.0,34,36,38.0,31,31,65,52,1,60,0,65,57,58,61,62.0,0
17.0,33,63,62.0,65,63,56,61,0,63,1,55,52,64,58,58.0,0
17.0,33,62,69.0,71,64,65,29,0,39,0,26,24,66,43,34.0,0
17.0,30,75,73.0,72,70,74,47,0,62,0,39,51,65,40,48.0,0
18.0,31,73,71.0,68,69,72,47,0,62,0,39,51,64,40,48.0,0
19.0,32,73,71.0,74,69,72,47,0,62,0,39,51,64,40,48.0,0
20.0,33,70,69.0,70,67,69,47,0,62,0,45,51,64,40,51.0,0
21.0,34,70,70.0,71,67,69,47,0,67,0,45,51,64,40,51.0,0
17.0,33,41,40.0,32,31,60,61,1,62,0,58,53,62,59,57.0,0
17.0,35,75,76.0,78,76,75,48,0,55,0,25,35,53,56,37.0,0
18.0,36,68,71.0,74,70,70,48,0,55,0,25,35,56,56,37.0,0
17.0,32,24,18.0,17,13,41,89,0,87,1,70,80,79,75,76.0,0
18.0,33,24,18.0,17,13,41,89,0,87,1,70,80,79,75,76.0,0
19.0,34,24,24.0,17,13,41,89,0,88,1,67,80,79,78,74.0,0
17.0,31,29,33.0,31,23,87,93,1,92,1,93,88,82,94,92.0,0
18.0,32,29,33.0,31,23,88,91,1,93,0,94,88,83,95,93.0,0
19.0,33,29,35.0,31,23,89,88,1,94,0,94,87,81,95,93.0,0
20.0,34,29,35.0,32,24,89,89,1,92,0,94,87,83,95,93.0,0
21.0,35,29,35.0,32,24,90,88,1,92,0,95,86,82,95,93.0,0
17.0,34,23,30.0,29,29,56,61,1,61,1,63,51,59,53,58.0,0
18.0,35,23,30.0,29,29,58,60,1,60,1,64,57,57,57,60.0,0
17.0,34,79,73.0,75,69,62,57,0,65,0,44,54,69,45,52.0,0
18.0,35,79,73.0,73,67,62,57,0,65,0,44,54,69,45,52.0,0
17.0,34,35,31.0,25,31,78,63,1,74,0,75,74,68,80,72.0,0
21.0,38,35,36.0,25,31,82,63,1,77,0,79,79,69,83,74.0,0
17.0,38,33,30.0,38,34,28,70,0,76,1,65,78,79,68,72.0,0
18.0,39,33,30.0,38,34,28,70,0,76,1,65,78,78,68,72.0,0
17.0,34,70,70.0,71,69,59,63,0,74,1,52,59,78,66,63.0,0
18.0,35,70,69.0,71,69,59,63,0,72,1,52,59,74,59,62.0,0
17.0,34,65,66.0,68,68,54,68,0,69,0,61,62,67,68,62.0,0
17.0,34,20,31.0,41,27,76,87,1,90,0,90,93,84,86,90.0,0
18.0,35,20,32.0,41,27,80,82,1,88,0,87,90,84,86,88.0,0
19.0,36,20,34.0,37,24,83,79,1,84,0,86,86,79,85,86.0,0
20.0,37,20,34.0,37,24,83,77,1,84,0,86,88,77,91,88.0,0
17.0,34,35,38.0,41,39,56,85,1,83,1,69,68,80,77,72.0,0
18.0,35,35,38.0,41,39,56,85,1,83,1,74,68,80,77,74.0,1
19.0,36,35,41.0,41,39,56,85,1,83,1,80,68,82,81,77.0,0
20.0,37,35,44.0,47,39,63,85,1,83,1,80,68,83,80,78.0,0
17.0,32,62,57.0,61,57,56,71,0,77,1,59,62,79,72,68.0,0
17.0,33,42,37.0,20,31,67,66,1,73,0,78,70,73,74,74.0,0
17.0,34,46,48.0,46,43,52,64,1,68,1,64,64,68,66,66.0,0
17.0,34,75,76.0,76,75,81,60,0,61,0,44,58,70,37,53.0,0
18.0,35,73,73.0,72,70,78,58,0,60,0,44,58,67,37,53.0,0
19.0,36,68,75.0,75,71,79,58,0,65,0,45,58,68,40,55.0,0
17.0,35,80,77.0,78,74,73,47,0,62,0,38,26,66,47,47.0,0
17.0,31,39,30.0,23,19,58,65,1,68,0,77,63,49,76,72.0,0
17.0,38,70,65.0,63,57,74,24,0,55,0,46,43,56,31,55.0,0
17.0,32,67,61.0,61,67,65,45,0,58,0,34,38,60,41,49.0,0
17.0,32,67,55.0,63,46,49,67,0,71,1,63,63,73,66,68.0,0
17.0,33,51,52.0,51,46,70,70,1,75,0,71,74,75,70,73.0,0
17.0,33,19,25.0,20,11,68,78,1,77,0,84,81,68,85,83.0,0
18.0,34,19,25.0,20,11,66,78,1,77,0,87,82,68,87,85.0,0
19.0,35,19,26.0,20,11,65,74,1,77,0,85,82,66,85,83.0,0
17.0,34,71,67.0,66,64,65,35,0,44,0,24,13,50,50,34.0,0
18.0,35,63,64.0,65,64,66,35,0,44,0,32,13,50,43,38.0,0
19.0,36,63,63.0,60,59,66,35,0,44,0,32,13,50,43,38.0,0
20.0,37,63,63.0,60,59,66,27,0,40,0,32,13,50,43,38.0,0
17.0,34,43,48.0,49,41,50,69,0,74,1,62,64,73,65,64.0,0
17.0,33,73,76.0,77,72,79,78,0,83,1,67,67,85,76,71.0,0
17.0,36,77,74.0,77,73,55,71,0,73,1,63,60,80,62,67.0,0
17.0,31,65,66.0,70,62,61,76,0,75,1,67,58,79,69,73.0,0
18.0,32,67,67.0,71,63,61,77,0,77,1,67,58,78,70,73.0,0
17.0,32,73,73.0,73,69,72,38,0,59,0,47,40,55,44,55.0,0
18.0,33,71,70.0,70,67,72,38,0,59,0,47,40,53,44,55.0,0
19.0,34,72,69.0,68,66,71,38,0,57,0,47,40,53,44,55.0,0
17.0,33,67,69.0,67,73,58,59,0,63,1,51,43,62,37,55.0,0
17.0,32,87,81.0,84,82,81,64,0,78,1,50,74,82,55,64.0,0
17.0,37,63,56.0,58,54,52,55,0,65,1,33,37,64,47,44.0,0
18.0,38,63,56.0,58,54,52,55,0,65,1,33,37,65,49,44.0,0
17.0,34,22,25.0,21,22,73,69,1,72,0,73,72,68,61,73.0,0
18.0,35,22,25.0,21,22,67,69,1,70,0,65,68,65,61,68.0,0
19.0,36,19,28.0,21,22,75,69,1,70,0,70,68,65,57,68.0,0
17.0,29,34,33.0,35,24,30,66,0,64,1,58,51,64,59,56.0,0
17.0,33,22,25.0,20,20,63,59,1,61,0,66,61,59,69,65.0,0
17.0,32,50,49.0,53,51,61,54,0,60,1,43,31,67,52,48.0,0
18.0,33,54,59.0,61,63,60,55,0,60,1,48,31,63,55,49.0,0
19.0,34,59,61.0,61,63,60,55,0,60,1,48,31,63,55,49.0,0
17.0,33,85,83.0,85,83,79,49,0,62,0,30,44,71,51,46.0,0
18.0,34,81,82.0,84,81,79,49,0,62,0,30,44,71,51,46.0,0
19.0,35,79,79.0,79,78,78,49,0,62,0,30,44,71,51,46.0,0
20.0,36,75,77.0,77,76,77,49,0,60,0,30,44,70,48,44.0,0
17.0,31,46,40.0,26,37,62,77,0,77,1,66,70,74,70,70.0,0
17.0,29,74,70.0,68,66,72,66,0,82,1,60,79,81,63,71.0,0
18.0,30,74,70.0,68,66,72,64,0,82,1,60,79,81,63,71.0,0
17.0,30,54,53.0,54,37,76,77,1,83,1,84,85,79,85,84.0,0
18.0,31,54,52.0,51,37,75,73,1,80,1,80,83,81,79,81.0,0
17.0,31,39,36.0,37,46,34,83,1,77,1,69,71,73,72,66.0,0
18.0,32,39,36.0,37,46,34,83,1,77,1,69,71,73,72,66.0,0
17.0,32,74,74.0,75,75,70,44,0,58,0,29,42,50,26,41.0,0
17.0,33,61,62.0,65,62,52,58,1,60,0,34,51,57,59,45.0,0
18.0,33,27,33.0,35,34,37,69,0,67,1,64,56,65,67,66.0,0
17.0,32,66,57.0,60,51,61,62,0,69,1,49,62,75,62,58.0,0
18.0,33,66,56.0,55,51,63,62,0,69,1,49,62,73,62,58.0,0
17.0,34,46,49.0,51,55,62,70,1,71,0,61,68,67,68,65.0,0
17.0,35,23,46.0,44,49,94,79,1,80,0,85,84,71,86,83.0,0
17.0,30,72,72.0,76,73,64,69,0,73,1,50,55,74,69,63.0,0
19.0,32,69,70.0,72,70,66,66,0,71,0,55,55,71,66,63.0,0
20.0,33,69,70.0,72,70,66,66,0,71,0,55,55,71,66,63.0,0
17.0,36,76,78.0,81,69,81,27,0,66,0,50,23,53,45,43.0,0
17.0,35,47,36.0,30,26,61,77,0,81,1,76,76,78,75,78.0,0
17.0,32,44,43.0,38,36,62,66,0,65,1,62,61,67,59,63.0,0
17.0,30,38,39.0,39,38,43,72,1,65,1,62,59,60,63,61.0,0
18.0,31,40,44.0,49,45,43,70,0,63,1,57,58,62,61,59.0,0
17.0,32,84,83.0,85,75,83,44,0,64,0,51,68,66,48,62.0,1
17.0,31,70,67.0,71,60,70,73,0,74,1,69,68,77,66,70.0,0
17.0,34,29,31.0,28,38,66,82,1,85,0,86,78,74,86,83.0,0
17.0,36,41,41.0,42,37,51,59,1,67,1,76,56,60,82,71.0,0
17.0,35,37,23.0,12,14,73,83,1,81,0,84,72,69,86,81.0,0
19.0,37,37,30.0,12,14,71,80,1,78,0,81,70,67,83,78.0,0
20.0,38,37,30.0,12,14,69,76,1,73,0,77,68,65,77,74.0,0
17.0,34,73,72.0,72,73,70,64,0,70,0,44,33,68,49,53.0,0
17.0,31,33,30.0,31,28,50,70,1,69,1,69,61,62,69,67.0,0
18.0,32,33,30.0,31,28,50,70,1,70,1,69,61,62,71,67.0,0
19.0,33,33,35.0,31,28,45,68,1,70,1,69,61,62,71,66.0,0
20.0,34,33,35.0,31,28,50,68,1,70,1,72,61,62,73,68.0,0
