player_id,short_name,long_name,nationality_name,age,player_positions,club_name,overall,potential,pace,shooting,passing,dribbling,defending,physic,age,physic,mentality_aggression,mentality_interceptions,power_stamina,power_strength,defending_marking_awareness,power_jumping,defending_standing_tackle,defending_sliding_tackle,attacking_heading_accuracy,mentality_composure,movement_reactions,skill_long_passing,skill_dribbling,skill_fk_accuracy,skill_ball_control,attacking_crossing,power_shot_power,attacking_finishing,skill_curve,movement_balance,attacking_volleys,power_long_shots,mentality_vision,mentality_penalties,movement_agility
158023,L. Messi,Lionel Andrés Messi Cuccittini,Argentina,33,"RW, ST, CF",FC Barcelona,93,93,85.0,92.0,91.0,95.0,38.0,65.0,33,65.0,44,40,72,69,32,68,35,24,70,96.0,94,91,96,94,96,85,86,95,93,95,88,94,95,75,91
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,Portugal,35,"ST, LW",Juventus,92,92,89.0,93.0,81.0,89.0,35.0,77.0,35,77.0,63,29,84,78,28,95,32,24,90,95.0,95,77,88,76,92,84,94,95,81,71,86,93,82,84,87
200389,J. Oblak,Jan Oblak,Slovenia,27,GK,Atlético Madrid,91,93,,,,,,,27,,34,19,41,78,27,78,12,18,15,68.0,88,40,12,14,30,13,59,11,13,49,13,12,65,11,67
188545,R. Lewandowski,Robert Lewandowski,Poland,31,ST,FC Bayern München,91,91,78.0,91.0,78.0,85.0,43.0,82.0,31,82.0,81,49,76,86,35,84,42,19,85,88.0,93,70,85,85,88,71,89,94,79,82,89,85,79,88,77
190871,Neymar Jr,Neymar da Silva Santos Júnior,Brazil,28,"LW, CAM",Paris Saint Germain,91,91,91.0,85.0,86.0,94.0,36.0,59.0,28,59.0,51,36,81,50,35,62,30,29,62,93.0,91,81,95,89,95,85,80,87,88,83,87,84,90,92,96
192985,K. De Bruyne,Kevin De Bruyne,Belgium,29,"CAM, CM",Manchester City,91,91,76.0,86.0,93.0,88.0,64.0,78.0,29,78.0,76,66,89,74,68,63,65,53,55,91.0,91,93,88,83,92,94,91,82,85,76,82,91,94,84,78
231747,K. Mbappé,Kylian Mbappé Lottin,France,21,"ST, LW, RW",Paris Saint Germain,90,95,96.0,86.0,78.0,91.0,39.0,76.0,21,76.0,62,38,86,76,34,77,34,32,73,84.0,92,70,92,63,90,78,86,91,79,82,83,79,80,70,92
192448,M. ter Stegen,Marc-André ter Stegen,Germany,28,GK,FC Barcelona,90,93,,,,,,,28,,43,22,35,78,25,79,13,10,11,70.0,86,63,21,12,30,18,66,14,18,43,14,10,70,25,37
203376,V. van Dijk,Virgil van Dijk,Netherlands,28,CB,Liverpool,90,91,76.0,60.0,71.0,71.0,91.0,86.0,28,86.0,83,90,75,92,93,90,93,86,87,90.0,89,86,70,70,77,53,81,52,60,53,45,64,65,62,61
212831,Alisson,Alisson Ramsés Becker,Brazil,27,GK,Liverpool,90,91,,,,,,,27,,27,11,32,78,15,52,19,16,19,65.0,88,44,27,18,30,17,64,13,19,37,20,14,66,23,40
208722,S. Mané,Sadio Mané,Senegal,28,LW,Liverpool,90,90,94.0,85.0,80.0,90.0,44.0,76.0,28,76.0,75,35,88,70,42,86,42,38,84,84.0,93,71,91,64,89,76,84,90,76,86,75,78,85,71,93
209331,M. Salah,Mohamed Salah Ghaly,Egypt,28,RW,Liverpool,90,90,93.0,86.0,81.0,90.0,45.0,75.0,28,75.0,63,55,85,75,38,69,43,41,59,90.0,92,75,90,69,89,79,80,91,83,91,79,84,84,83,91
192119,T. Courtois,Thibaut Nicolas Marc Courtois,Belgium,28,GK,Real Madrid,89,90,,,,,,,28,,23,15,38,70,20,68,18,16,13,66.0,84,35,13,20,23,14,56,14,19,45,12,17,44,27,61
153079,S. Agüero,Sergio Leonel Agüero del Castillo,Argentina,32,ST,Manchester City,89,89,78.0,90.0,77.0,88.0,33.0,73.0,32,73.0,65,24,78,74,30,78,29,24,78,91.0,92,64,88,73,89,70,89,94,83,91,86,84,83,75,84
155862,Sergio Ramos,Sergio Ramos García,Spain,34,CB,Real Madrid,89,89,71.0,70.0,76.0,73.0,88.0,85.0,34,85.0,90,88,81,85,85,93,88,90,92,88.0,92,83,65,76,83,66,79,65,74,66,69,64,71,92,78
165153,K. Benzema,Karim Benzema,France,32,"CF, ST",Real Madrid,89,89,74.0,85.0,81.0,86.0,40.0,76.0,32,76.0,63,39,78,80,47,79,24,18,91,90.0,91,73,87,73,90,75,84,88,81,69,86,79,87,84,79
167495,M. Neuer,Manuel Peter Neuer,Germany,34,GK,FC Bayern München,89,89,,,,,,,34,,29,30,43,80,17,77,10,11,25,70.0,86,59,30,11,46,15,68,13,14,35,11,16,70,47,51
